演唱会名称,艺人,地点,时间,票价,链接
6.28&29 爵色波兰主题音乐会 | 天体和音-中国巡演·上海站,,上海,2024.06.28-06.29,168-428,https://detail.damai.com/item.htm?id=798788667084&clicktitle=6.28&29 爵色波兰主题音乐会 | 天体和音-中国巡演·上海站
【6/26 深圳】鬼否&体熊专科「合体术」联合巡演,,深圳,2024.06.26 周三 20:00,168-188,https://detail.damai.com/item.htm?id=801545385526&clicktitle=【6/26 深圳】鬼否&体熊专科「合体术」联合巡演
【瓯越偶像日Vol.07】CrossingX意次元 Idol Live,,温州,2024.06.16 周日 13:00,58-78,https://detail.damai.com/item.htm?id=803818452343&clicktitle=【瓯越偶像日Vol.07】CrossingX意次元 Idol Live
6.21&22 最纯真的安第斯节奏 -The Timba Andina Latin Quintet,,上海,2024.06.21-06.22,168-428,https://detail.damai.com/item.htm?id=804144309479&clicktitle=6.21&22 最纯真的安第斯节奏 -The Timba Andina Latin Quintet
「冥想游织」vol.03 VH (Vast & Hazy）x 马格南MAGNUM,,上海,2024.06.23 周日 20:00,158-178,https://detail.damai.com/item.htm?id=785857260716&clicktitle=「冥想游织」vol.03 VH (Vast & Hazy）x 马格南MAGNUM
性格缺失 「割开坚硬的地面」 2024巡演 武汉站,,武汉,2024.06.14 周五 20:30,80,https://detail.damai.com/item.htm?id=800325859796&clicktitle=性格缺失 「割开坚硬的地面」 2024巡演 武汉站
"【秀动x掌乐无限联合呈献】""I See You"" - 美国独立摇滚乐队MISSIO首次巡演 上海站",,上海,2024.07.09 周二 20:30,160-280,"https://detail.damai.com/item.htm?id=803864968650&clicktitle=【秀动x掌乐无限联合呈献】""I See You"" - 美国独立摇滚乐队MISSIO首次巡演 上海站"
留学前尽情Party,,杭州,2024.06.30 周日 20:00,150-268,https://detail.damai.com/item.htm?id=803761045367&clicktitle=留学前尽情Party
Ecke x Forsaken Autumn聯合專場 | 看不見的夢,,上海,2024.06.29 周六 20:00,110-130,https://detail.damai.com/item.htm?id=796619623664&clicktitle=Ecke x Forsaken Autumn聯合專場 | 看不見的夢
6.27 钢的吉他 |致敬传奇钢琴家音乐会- 李成三重奏,,上海,2024.06.27 周四 19:30,168-388,https://detail.damai.com/item.htm?id=802955798135&clicktitle=6.27 钢的吉他 |致敬传奇钢琴家音乐会- 李成三重奏
「众生」欧比王(神棍乐团主唱) 2024巡演 郑州站,,郑州,2024.06.15 周六 20:00,90,https://detail.damai.com/item.htm?id=800756991966&clicktitle=「众生」欧比王(神棍乐团主唱) 2024巡演 郑州站
6.15|丛林城市 蒋京逾城市巡演,,上海,2024.06.15 周六 20:30,108,https://detail.damai.com/item.htm?id=797844347299&clicktitle=6.15|丛林城市 蒋京逾城市巡演
阿那亚戏剧节—DDC特别演出D1：花墙FancyWall特别专场,,秦皇岛,2024.06.20 周四 21:00,110,https://detail.damai.com/item.htm?id=795266525788&clicktitle=阿那亚戏剧节—DDC特别演出D1：花墙FancyWall特别专场
【福田】「挪威的森林」专场｜现场音乐会｜福田星河COCO Park｜猎人乐队原创音乐｜达人秀决赛歌手,,深圳,2024.06.23 周日 16:00,98-328,https://detail.damai.com/item.htm?id=795372982536&clicktitle=【福田】「挪威的森林」专场｜现场音乐会｜福田星河COCO Park｜猎人乐队原创音乐｜达人秀决赛歌手
德清大剧院|《月亮代表我的心》吕雅芬经典歌曲演唱会,,湖州,2024.06.16 周日 19:00,50-200,https://detail.damai.com/item.htm?id=773037402655&clicktitle=德清大剧院|《月亮代表我的心》吕雅芬经典歌曲演唱会
7.5｜夜猫俱乐部「华语流行夜」 青春回忆KTV #酒水畅饮,,杭州,2024.07.05-07.06,68-320,https://detail.damai.com/item.htm?id=804909872254&clicktitle=7.5｜夜猫俱乐部「华语流行夜」 青春回忆KTV #酒水畅饮
7.12｜夜猫俱乐部「KHIPHOP NIGHT」收留无处可蹦的剋黑泡儿 #酒水畅饮,,杭州,2024.07.12-07.13,68-320,https://detail.damai.com/item.htm?id=804847369832&clicktitle=7.12｜夜猫俱乐部「KHIPHOP NIGHT」收留无处可蹦的剋黑泡儿 #酒水畅饮
chestnut bakery栗子蛋糕「Mirror」2024巡演·南京站,,南京,2024.06.23 周日 20:00,100-120,https://detail.damai.com/item.htm?id=774458975255&clicktitle=chestnut bakery栗子蛋糕「Mirror」2024巡演·南京站
表情银行「你没看见魔王吗？」2024巡演 上海站,,上海,2024.06.12 周三 20:30,110-150,https://detail.damai.com/item.htm?id=803783445397&clicktitle=表情银行「你没看见魔王吗？」2024巡演 上海站
异国人乐队2024巡演长沙站,,长沙,2024.07.04 周四 20:30,68-88,https://detail.damai.com/item.htm?id=798292486948&clicktitle=异国人乐队2024巡演长沙站
“游园鲸梦”梦游动物园&鲸浪&公园前2024年巡演珠海站,,珠海,2024.06.21 周五 20:00,88,https://detail.damai.com/item.htm?id=799311005927&clicktitle=“游园鲸梦”梦游动物园&鲸浪&公园前2024年巡演珠海站
离“京”叛道·联合小巡,,苏州,2024.06.21 周五 20:00,90-168,https://detail.damai.com/item.htm?id=797186332024&clicktitle=离“京”叛道·联合小巡
交响摇滚版《风暴》墨西哥时空乐队 &电子古典跨界音乐会 南京站,,南京,2024.07.24 周三 20:00,180-380,https://detail.damai.com/item.htm?id=798283150024&clicktitle=交响摇滚版《风暴》墨西哥时空乐队 &电子古典跨界音乐会 南京站
《房间的歌》郑荆沙 2024专辑巡演 台州站,,台州,2024.07.19 周五 20:00,50-70,https://detail.damai.com/item.htm?id=803522175385&clicktitle=《房间的歌》郑荆沙 2024专辑巡演 台州站
浅水ShallowEnd巡演2024CHINA TOUR「来世」杭州站,艺人：浅水ShallowEnd,杭州,2024.07.04 周四 20:00,79-99,https://detail.damai.com/item.htm?id=796958375646&clicktitle=浅水ShallowEnd巡演2024CHINA TOUR「来世」杭州站
信念乐队【追忆家驹 致敬BEYOND】2024巡回演唱会·温州站,,温州,2024.07.27-07.28,88-268,https://detail.damai.com/item.htm?id=791000785193&clicktitle=信念乐队【追忆家驹 致敬BEYOND】2024巡回演唱会·温州站
“众生”～欧比王（神棍乐团主唱）2024巡演 北京站,,北京,2024.06.19 周三 20:30,90,https://detail.damai.com/item.htm?id=799305009384&clicktitle=“众生”～欧比王（神棍乐团主唱）2024巡演 北京站
浅水ShallowEnd巡演2024CHINA TOUR「来世」武汉站,,武汉,2024.06.16 周日 20:00,79-99,https://detail.damai.com/item.htm?id=789913393251&clicktitle=浅水ShallowEnd巡演2024CHINA TOUR「来世」武汉站
2024 「你来真的」 LEGEND(来真的) 巡演 大同站,,大同,2024.06.15 周六 20:00,48-58,https://detail.damai.com/item.htm?id=790187873658&clicktitle=2024 「你来真的」 LEGEND(来真的) 巡演 大同站
6.16 时空旅行三重奏-李龙飞三重奏,,上海,2024.06.16 周日 19:30,168-388,https://detail.damai.com/item.htm?id=801457073006&clicktitle=6.16 时空旅行三重奏-李龙飞三重奏
异国人乐队2024巡演 合肥站,,合肥,2024.06.30 周日 20:00,68,https://detail.damai.com/item.htm?id=771371586159&clicktitle=异国人乐队2024巡演 合肥站
脑浊乐队2024年“SOS”夏季巡演 重庆站,艺人：脑浊乐队,重庆,2024.07.27 周六 20:00,100-240,https://detail.damai.com/item.htm?id=795328555953&clicktitle=脑浊乐队2024年“SOS”夏季巡演 重庆站
TECHNASIA 外滩万达瑞华酒店露台派对,,上海,2024.06.15 周六 15:00,128-168,https://detail.damai.com/item.htm?id=803165810893&clicktitle=TECHNASIA 外滩万达瑞华酒店露台派对
软柿子乐队2024年巡演《年少的梦》天津站,,天津,2024.08.17 周六 20:00,60-100,https://detail.damai.com/item.htm?id=778148966353&clicktitle=软柿子乐队2024年巡演《年少的梦》天津站
Summer Shape 2024 夏日速写 · 上海站,,上海,2024.06.28 周五 20:00,120-150,https://detail.damai.com/item.htm?id=785097598270&clicktitle=Summer Shape 2024 夏日速写 · 上海站
「不象艺术出品」印子月&坨坨芭乐2024“大事很妙”巡演 上海站,,上海,2024.08.10 周六 20:30,130-150,https://detail.damai.com/item.htm?id=803646710457&clicktitle=「不象艺术出品」印子月&坨坨芭乐2024“大事很妙”巡演 上海站
06.22｜夜猫俱乐部「摇滚热浪」国摇派对 酒水畅饮！,,北京,2024.06.22-06.23,99-178,https://detail.damai.com/item.htm?id=794730332655&clicktitle=06.22｜夜猫俱乐部「摇滚热浪」国摇派对 酒水畅饮！
6.28｜夜猫俱乐部「Bruno Mars's Night」欧美荟萃#酒水畅饮,,杭州,2024.06.28-06.29,68-320,https://detail.damai.com/item.htm?id=795097654368&clicktitle=6.28｜夜猫俱乐部「Bruno Mars's Night」欧美荟萃#酒水畅饮
2024 Killer Dragon杀手龙“I M ON MY WAY”巡演郑州站,,郑州,2024.07.30 周二 19:30,100,https://detail.damai.com/item.htm?id=793736854319&clicktitle=2024 Killer Dragon杀手龙“I M ON MY WAY”巡演郑州站
6.12 Happy Birthday Chick!-致敬Chick Corea三重奏,,上海,2024.06.12 周三 19:30,168-388,https://detail.damai.com/item.htm?id=797886191812&clicktitle=6.12 Happy Birthday Chick!-致敬Chick Corea三重奏
【不识时务】李智&乐队2024新专辑巡演 哈尔滨站,,哈尔滨,2024.07.14 周日 19:30,90,https://detail.damai.com/item.htm?id=786249353261&clicktitle=【不识时务】李智&乐队2024新专辑巡演 哈尔滨站
【节奏大师 千禧热单】Billboard时代金曲狂享现场,,上海,2024.06.27 周四 21:30,100,https://detail.damai.com/item.htm?id=798789911095&clicktitle=【节奏大师 千禧热单】Billboard时代金曲狂享现场
法国SKA著名乐团SKARFACE中国巡回武汉站,,武汉,2024.06.27 周四 20:00,150-240,https://detail.damai.com/item.htm?id=796900017003&clicktitle=法国SKA著名乐团SKARFACE中国巡回武汉站
【不识时务】李智&乐队2024新专辑巡演 上海站,,上海,2024.06.20 周四 20:30,90,https://detail.damai.com/item.htm?id=785499858122&clicktitle=【不识时务】李智&乐队2024新专辑巡演 上海站
孟大宝2024《靠近我》城市巡回,,沈阳,2024.06.29 周六 19:30,100-120,https://detail.damai.com/item.htm?id=778606355715&clicktitle=孟大宝2024《靠近我》城市巡回
"""夏日狂想曲"" 逆向思维 / 时间有限 / 应急避难所乐队 联合演出",,成都,2024.06.14 周五 20:00,68,"https://detail.damai.com/item.htm?id=795790687329&clicktitle=""夏日狂想曲"" 逆向思维 / 时间有限 / 应急避难所乐队 联合演出"
【网上邻居x第三极】专场-杭州站,,杭州,2024.06.28 周五 20:00,168-388,https://detail.damai.com/item.htm?id=803624290830&clicktitle=【网上邻居x第三极】专场-杭州站
MOJOHAND十周年巡演 上海站,,上海,2024.08.24 周六 20:00,120,https://detail.damai.com/item.htm?id=803684658263&clicktitle=MOJOHAND十周年巡演 上海站
泰国后摇大团 Inspirative「Invisible Bonds」2024 巡演 成都站,,成都,2024.06.28 周五 20:30,160,https://detail.damai.com/item.htm?id=794403551865&clicktitle=泰国后摇大团 Inspirative「Invisible Bonds」2024 巡演 成都站
「A Dead End 死路一条」GOINDOWN 复出专场,,成都,2024.06.21 周五 20:30,80,https://detail.damai.com/item.htm?id=793876345990&clicktitle=「A Dead End 死路一条」GOINDOWN 复出专场
【6/30 上海】鬼否&体熊专科「合体术」联合巡演,,上海,2024.06.30 周日 20:00,168-188,https://detail.damai.com/item.htm?id=803638202648&clicktitle=【6/30 上海】鬼否&体熊专科「合体术」联合巡演
赛科隆「复杂且歪歪扭扭的一首诗」专辑巡演,,中山,2024.07.13 周六 20:00,68-88,https://detail.damai.com/item.htm?id=794594812270&clicktitle=赛科隆「复杂且歪歪扭扭的一首诗」专辑巡演
孟大宝2024《靠近我》城市巡回 长春站,艺人：孟大宝,长春,2024.06.30 周日 19:00,100-120,https://detail.damai.com/item.htm?id=790458399505&clicktitle=孟大宝2024《靠近我》城市巡回 长春站
永恒乐队追忆家驹致敬BEYOND Unplugged不插电演唱会,,江门,2024.07.05 周五 20:00,58-380,https://detail.damai.com/item.htm?id=791495904167&clicktitle=永恒乐队追忆家驹致敬BEYOND Unplugged不插电演唱会
MOJOHAND十周年巡演 深圳站,,深圳,2024.08.03 周六 20:00,120,https://detail.damai.com/item.htm?id=804193371002&clicktitle=MOJOHAND十周年巡演 深圳站
跨越二次元ACG神级动漫演唱会世界巡演——沈阳站,,沈阳,2024.08.10 周六 15:30,60-600,https://detail.damai.com/item.htm?id=803924039678&clicktitle=跨越二次元ACG神级动漫演唱会世界巡演——沈阳站
北京 | 7.19 「Watch What Happens」Simone Basile三重奏,,北京,2024.07.19 周五 20:00,220,https://detail.damai.com/item.htm?id=805102388196&clicktitle=北京 | 7.19 「Watch What Happens」Simone Basile三重奏
《饿狼传说——致敬港乐金曲演唱会》,,天津,2024.07.27 周六 19:30,40-580,https://detail.damai.com/item.htm?id=803175743971&clicktitle=《饿狼传说——致敬港乐金曲演唱会》
致敬传奇·光辉岁月--纪念beyond经典金曲演唱会,,哈尔滨,2024.08.24 周六 19:00,100-380,https://detail.damai.com/item.htm?id=805071693321&clicktitle=致敬传奇·光辉岁月--纪念beyond经典金曲演唱会
Echo2024【黄沙Tour】巡演呼和浩特站,艺人：Echo,呼和浩特,2024.06.16 周日 20:00,149-249,https://detail.damai.com/item.htm?id=805080609351&clicktitle=Echo2024【黄沙Tour】巡演呼和浩特站
《跨越二次元ACG神级动漫演唱会》,,上海,2024.09.20 周五 19:30,180-580,https://detail.damai.com/item.htm?id=804765363035&clicktitle=《跨越二次元ACG神级动漫演唱会》
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(温州站）,,温州,2024.07.27 周六 20:00,98-399,https://detail.damai.com/item.htm?id=796292382333&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(温州站）
叁3aints“三重科技TRIPLE TECH”专辑同名专场演出,,郑州,2024.07.13 周六 20:00,69-109,https://detail.damai.com/item.htm?id=804876634424&clicktitle=叁3aints“三重科技TRIPLE TECH”专辑同名专场演出
2024 战旗乐队新专辑ChinggisKhaan巡演-6月30日青岛站,,青岛,2024.06.30 周日 20:00,149-179,https://detail.damai.com/item.htm?id=803513639237&clicktitle=2024 战旗乐队新专辑ChinggisKhaan巡演-6月30日青岛站
LikeKpop暑期特辑「室内Kpop派对」银川站,,银川,2024.07.28 周日 19:00,69-359,https://detail.damai.com/item.htm?id=804812771688&clicktitle=LikeKpop暑期特辑「室内Kpop派对」银川站
周佳顺JSore&地藏KGB《船》巡演 南宁站,,南宁,2024.06.28 周五 20:00,100-120,https://detail.damai.com/item.htm?id=804438841615&clicktitle=周佳顺JSore&地藏KGB《船》巡演 南宁站
八小时摇滚俱乐部Vol.42 巨星降临,,合肥,2024.06.22 周六 20:00,88,https://detail.damai.com/item.htm?id=804424777770&clicktitle=八小时摇滚俱乐部Vol.42 巨星降临
《致敬传奇·海阔天空--纪念beyond经典金曲演唱会》台州站,,台州,2024.07.05 周五 19:30,50-380,https://detail.damai.com/item.htm?id=804758715879&clicktitle=《致敬传奇·海阔天空--纪念beyond经典金曲演唱会》台州站
《纪念家驹-致敬Beyond专场》关于青春、热爱、梦想、情怀、和平、信仰，31年历久弥新！,,济南,2024.06.29 周六 20:30,10,https://detail.damai.com/item.htm?id=804851746030&clicktitle=《纪念家驹-致敬Beyond专场》关于青春、热爱、梦想、情怀、和平、信仰，31年历久弥新！
不熟游乐场VOL.25乐队联合专场社交派对,,合肥,2024.06.21 周五 20:00,58-88,https://detail.damai.com/item.htm?id=804417593164&clicktitle=不熟游乐场VOL.25乐队联合专场社交派对
邓博伦2024「失真生活」巡演长沙站,,长沙,2024.06.20 周四 20:00,100-120,https://detail.damai.com/item.htm?id=790922167241&clicktitle=邓博伦2024「失真生活」巡演长沙站
乐返80年代：麦当娜致敬音乐会,,上海,2024.06.19 周三 20:00,100,https://detail.damai.com/item.htm?id=798038001391&clicktitle=乐返80年代：麦当娜致敬音乐会
「麻油叶西南分叶」尧十三&张尧 民谣联合专场,,重庆,2024.06.15 周六 20:00,129-159,https://detail.damai.com/item.htm?id=794535835117&clicktitle=「麻油叶西南分叶」尧十三&张尧 民谣联合专场
鬼节Gwaizit 2024 VICIOUS CIRCLE 巡演南宁站,,南宁,2024.06.15 周六 20:00,100,https://detail.damai.com/item.htm?id=786243293461&clicktitle=鬼节Gwaizit 2024 VICIOUS CIRCLE 巡演南宁站
【SONICE呈现】石桥乐队「Long Way Down II」2024夏季四城巡演 深圳站,,深圳,2024.06.28 周五 20:30,88-108,https://detail.damai.com/item.htm?id=794925781836&clicktitle=【SONICE呈现】石桥乐队「Long Way Down II」2024夏季四城巡演 深圳站
【不识时务】李智&乐队2024新专辑巡演 沈阳站,,沈阳,2024.07.12 周五 20:00,90,https://detail.damai.com/item.htm?id=786238288683&clicktitle=【不识时务】李智&乐队2024新专辑巡演 沈阳站
邓博伦2024「失真生活」巡演 中山站,,中山,2024.06.15 周六 20:00,100-120,https://detail.damai.com/item.htm?id=788266372984&clicktitle=邓博伦2024「失真生活」巡演 中山站
邓博伦 2024「失真生活」巡演 郑州站,,郑州,2024.06.28 周五 20:30,100,https://detail.damai.com/item.htm?id=788006807850&clicktitle=邓博伦 2024「失真生活」巡演 郑州站
「现实梦语」V89×环跳双专场,,成都,2024.06.29 周六 20:30,80,https://detail.damai.com/item.htm?id=790185094693&clicktitle=「现实梦语」V89×环跳双专场
邓博伦2024「失真生活」巡演珠海站,,珠海,2024.06.17 周一 20:00,100,https://detail.damai.com/item.htm?id=789371494910&clicktitle=邓博伦2024「失真生活」巡演珠海站
异国人「高于所有人世间不公与愚行的宿命之梦」2024巡演,,淄博,2024.06.25 周二 20:30,68-88,https://detail.damai.com/item.htm?id=782751505372&clicktitle=异国人「高于所有人世间不公与愚行的宿命之梦」2024巡演
辽阳大剧院2024第四届城市艺术节 保利城市岛屿音乐季 许飞2024《生活不必太用力》巡回演唱会,艺人：许飞,辽阳,2024.06.16 周日 19:00,20-399,https://detail.damai.com/item.htm?id=775074783268&clicktitle=辽阳大剧院2024第四届城市艺术节 保利城市岛屿音乐季 许飞2024《生活不必太用力》巡回演唱会
邓博伦2024「失真生活」巡演 深圳站,,深圳,2024.06.13 周四 20:00,100-120,https://detail.damai.com/item.htm?id=788161198936&clicktitle=邓博伦2024「失真生活」巡演 深圳站
跳大海「爱有引力」2024巡演珠海站,,珠海,2024.09.27 周五 20:00,100-120,https://detail.damai.com/item.htm?id=784347627028&clicktitle=跳大海「爱有引力」2024巡演珠海站
不可思议运动街区•保龄球•轮滑•桌游•桌球•蹦床（海岸城店）,,深圳,2024.01.18-2026.12.31,138-388,https://detail.damai.com/item.htm?id=763365602081&clicktitle=不可思议运动街区•保龄球•轮滑•桌游•桌球•蹦床（海岸城店）
雪山白凤凰-深山乐队2024巡演贵阳站,艺人：深山乐队,贵阳,2024.06.21 周五 20:00,120-150,https://detail.damai.com/item.htm?id=805022117367&clicktitle=雪山白凤凰-深山乐队2024巡演贵阳站
京津记·一衣带水·天津站,,天津,2024.06.29 周六 20:00,70-100,https://detail.damai.com/item.htm?id=804921546806&clicktitle=京津记·一衣带水·天津站
雪山白凤凰-深山乐队2024巡演重庆站,,重庆,2024.06.23 周日 20:00,120-150,https://detail.damai.com/item.htm?id=805147580832&clicktitle=雪山白凤凰-深山乐队2024巡演重庆站
七夕专属【love story】——Taylor Swift限定派对：Baby just say y,,上海,2024.08.10 周六 20:30,68-188,https://detail.damai.com/item.htm?id=805180016073&clicktitle=七夕专属【love story】——Taylor Swift限定派对：Baby just say y
黄誉博【怪诞影院】·2024夏季巡演-杭州站,艺人：黄誉博、连淮伟,杭州,2024.07.06 周六 19:00,228-298,https://detail.damai.com/item.htm?id=803803673797&clicktitle=黄誉博【怪诞影院】·2024夏季巡演-杭州站
2024 五月天 [回到那一天] 25 周年巡回演唱会-深圳站,艺人：五月天,深圳,2024.07.01-07.07,355-1655,https://detail.damai.com/item.htm?id=801172928321&clicktitle=2024 五月天 [回到那一天] 25 周年巡回演唱会-深圳站
种下一个未来-十个勤天巡回演唱会杭州站,艺人：十个勤天,杭州,2024.06.28-06.30,388-1588,https://detail.damai.com/item.htm?id=800344756360&clicktitle=种下一个未来-十个勤天巡回演唱会杭州站
2024 张信哲未来式终极版演唱会-北京站,艺人：张信哲,北京,2024.06.29-06.30,299-1399,https://detail.damai.com/item.htm?id=798728244039&clicktitle=2024 张信哲未来式终极版演唱会-北京站
2024张杰未·LIVE—「开往1982」巡回演唱会-武汉站,艺人：张杰,武汉,2024.07.12-07.14,380-1680,https://detail.damai.com/item.htm?id=793580921643&clicktitle=2024张杰未·LIVE—「开往1982」巡回演唱会-武汉站
2024 陶喆 Soul Power II 世界巡回演唱会-天津站,艺人：陶喆,天津,2024.08.10-08.11,380-1380,https://detail.damai.com/item.htm?id=801784781108&clicktitle=2024 陶喆 Soul Power II 世界巡回演唱会-天津站
薛之谦“天外来物”巡回演唱会—徐州站,艺人：薛之谦,徐州,2024.06.21-06.23,317-1717,https://detail.damai.com/item.htm?id=798191599682&clicktitle=薛之谦“天外来物”巡回演唱会—徐州站
洋河·梦之蓝M6+呈献 “今天…is the Day 刘德华巡回演唱会2024-广州站”,艺人：刘德华,广州,2024.07.18-07.21,680-2580,https://detail.damai.com/item.htm?id=791945859976&clicktitle=洋河·梦之蓝M6+呈献 “今天…is the Day 刘德华巡回演唱会2024-广州站”
邓紫棋 I AM GLORIA 世界巡回演唱会-南京站,艺人：邓紫棋,南京,2024.06.21-06.23,380-1580,https://detail.damai.com/item.htm?id=789240991916&clicktitle=邓紫棋 I AM GLORIA 世界巡回演唱会-南京站
莫文蔚「大秀一场」2024演唱会【北京站】,艺人：莫文蔚,北京,2024.06.15 周六 19:00,399-1299,https://detail.damai.com/item.htm?id=794259189422&clicktitle=莫文蔚「大秀一场」2024演唱会【北京站】
This is MC 2 live in Guangzhou 2024,艺人：张天赋,广州,2024.06.29 周六 19:30,380-1380,https://detail.damai.com/item.htm?id=797825527316&clicktitle=This is MC 2 live in Guangzhou 2024
洋河·梦之蓝M6+呈献 张学友 60+巡回演唱会 杭州站,艺人：张学友,杭州,2024.07.12-07.28,480-2280,https://detail.damai.com/item.htm?id=787618222702&clicktitle=洋河·梦之蓝M6+呈献 张学友 60+巡回演唱会 杭州站
汪苏泷2024「十万伏特」巡回演唱会-成都站,艺人：汪苏泷,成都,2024.07.06-07.07,380-1380,https://detail.damai.com/item.htm?id=796982858128&clicktitle=汪苏泷2024「十万伏特」巡回演唱会-成都站
薛之谦“天外来物”巡回演唱会—长沙站,艺人：薛之谦,长沙,2024.06.14-06.16,317-1717,https://detail.damai.com/item.htm?id=798495728894&clicktitle=薛之谦“天外来物”巡回演唱会—长沙站
2024周传雄「念念不忘·回响」巡回演唱会-深圳站,艺人：周传雄,深圳,2024.07.20 周六 19:00,388-1288,https://detail.damai.com/item.htm?id=795978196301&clicktitle=2024周传雄「念念不忘·回响」巡回演唱会-深圳站
陈奕迅 FEAR and DREAMS 世界巡回演唱会 – 重庆站,艺人：陈奕迅,重庆,2024.06.14-06.23,780-2580,https://detail.damai.com/item.htm?id=785741959168&clicktitle=陈奕迅 FEAR and DREAMS 世界巡回演唱会 – 重庆站
潘玮柏“狂爱”巡回演唱会-宁波站,艺人：潘玮柏,宁波,2024.06.29 周六 19:30,380-1380,https://detail.damai.com/item.htm?id=796393396838&clicktitle=潘玮柏“狂爱”巡回演唱会-宁波站
2024长沙草莓音乐节,艺人：痛仰乐队、二手玫瑰、凤凰传奇、林宥嘉、陈绮贞、陈楚生、郭顶、梅卡德尔、文雀乐队、周柏豪、声音碎片、depapepe、DOUDOU、房东的猫、Mola Oddity莫拉怪乐、曹方、达闻西、广场恐惧症、PeaceHotel和平饭店乐队、Click#15、APEX(LEGGO&Kyra Zilver&4D）、疯医乐队、污甩Dirt Left、jam阿敬,长沙,2024.06.14-06.16,328-878,https://detail.damai.com/item.htm?id=787238251934&clicktitle=2024长沙草莓音乐节
蔡依林 Ugly Beauty 2024 巡回演唱会 FINALE 常州站,艺人：蔡依林,常州,2024.07.05-07.06,490-1590,https://detail.damai.com/item.htm?id=794294808101&clicktitle=蔡依林 Ugly Beauty 2024 巡回演唱会 FINALE 常州站
“万物安生时”李健世界巡回演唱会青岛站,艺人：李健,青岛,2024.07.06 周六 19:30,380-1880,https://detail.damai.com/item.htm?id=793595025476&clicktitle=“万物安生时”李健世界巡回演唱会青岛站
A-Lin黄丽玲「A-LINK with PASSENGERS」2024巡回演唱会-深圳站,艺人：A-LIN,深圳,2024.06.15 周六 19:00,480-1380,https://detail.damai.com/item.htm?id=795735346242&clicktitle=A-Lin黄丽玲「A-LINK with PASSENGERS」2024巡回演唱会-深圳站
2024幸越时光演唱会,艺人：李荣浩、陈绮贞、HUSH,绍兴,时间待定,价格待定,https://detail.damai.com/item.htm?id=801126814139&clicktitle=2024幸越时光演唱会
李昊《9862》音乐会,艺人：李昊,广州,2024.07.02 周二 19:30,300-780,https://detail.damai.com/item.htm?id=800557560378&clicktitle=李昊《9862》音乐会
Twins Spirit 22 演唱会-杭州站,艺人：Twins,杭州,2024.06.29 周六 19:30,480-1580,https://detail.damai.com/item.htm?id=800909945464&clicktitle=Twins Spirit 22 演唱会-杭州站
张碧晨「今儿个开心」十周年限定巡回演唱会-上海站,艺人：张碧晨,上海,2024.06.30 周日 19:30,380-1280,https://detail.damai.com/item.htm?id=799299261163&clicktitle=张碧晨「今儿个开心」十周年限定巡回演唱会-上海站
许嵩「呼吸之野」巡回演唱会 成都站,艺人：许嵩,成都,2024.06.15 周六 19:00,318-1618,https://detail.damai.com/item.htm?id=793821542165&clicktitle=许嵩「呼吸之野」巡回演唱会 成都站
齐迹2024任贤齐演唱会-成都站,艺人：任贤齐,成都,2024.06.22-06.23,380-1280,https://detail.damai.com/item.htm?id=788575210691&clicktitle=齐迹2024任贤齐演唱会-成都站
2024张信哲「未来式终极版」世界巡回演唱会-南京站,艺人：张信哲,南京,2024.07.06 周六 19:00,380-2180,https://detail.damai.com/item.htm?id=803946486320&clicktitle=2024张信哲「未来式终极版」世界巡回演唱会-南京站
2024张杰未·LIVE—「开往1982」巡回演唱会-兰州站,艺人：张杰,兰州,2024.06.15-06.16,380-1680,https://detail.damai.com/item.htm?id=779277756212&clicktitle=2024张杰未·LIVE—「开往1982」巡回演唱会-兰州站
黄绮珊「晚霞·不晚」2024巡回演唱会-沈阳站,艺人：黄绮珊,沈阳,2024.06.15 周六 19:30,380-1180,https://detail.damai.com/item.htm?id=796180495526&clicktitle=黄绮珊「晚霞·不晚」2024巡回演唱会-沈阳站
「Aimer 3 nuits tour 2024」in Shanghai,艺人：AIMER,上海,2024.06.15-06.16,480-1680,https://detail.damai.com/item.htm?id=787732121201&clicktitle=「Aimer 3 nuits tour 2024」in Shanghai
2024周华健【少年侠客】巡回演唱会-西安站,艺人：周华健,西安,2024.06.29 周六 19:30,499-1299,https://detail.damai.com/item.htm?id=791424600058&clicktitle=2024周华健【少年侠客】巡回演唱会-西安站
2024 P1Harmony LIVE TOUR [P1ustage H : UTOP1A] IN MACAU,,中国澳门,2024.07.13 周六 17:00,775-1454,https://detail.damai.com/item.htm?id=804744437855&clicktitle=2024 P1Harmony LIVE TOUR [P1ustage H : UTOP1A] IN MACAU
2024周传雄【念念不忘·回响】巡回演唱会-福州站,艺人：周传雄,福州,2024.06.22 周六 19:30,388-1288,https://detail.damai.com/item.htm?id=788022059758&clicktitle=2024周传雄【念念不忘·回响】巡回演唱会-福州站
2024周深9.29Hz巡回演唱会—成都场,艺人：周深,成都,2024.06.15 周六 19:00,399-1699,https://detail.damai.com/item.htm?id=786976076081&clicktitle=2024周深9.29Hz巡回演唱会—成都场
